mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,label
-184.12552,7.731072,4.5270567,0.5031748,-1.4831407,-2.745548,-1.4698503,0.48543617,0.12997648,-2.1957746,-2.3013613,-0.20684497,0.9706779,buka
-630.3004,113.25256,25.740076,27.790562,-1.8848593,13.527467,-3.8170156,0.24038954,5.787313,-4.866007,0.8988092,-2.9645448,3.247084,buka
-249.09636,1.4216332,3.234724,0.88675535,-0.44246587,-1.8333757,-2.609631,-0.9436374,-0.5233176,-0.56183094,-0.9048269,-1.2649525,-1.1141248,buka
-293.1108,6.358102,3.2198842,-0.74594504,-3.3110733,-3.4357285,-0.9244191,0.9972734,-0.15021627,-1.7714683,-0.5838743,0.7689326,1.0760535,buka
-640.3387,91.14163,23.997843,20.339302,0.34583396,9.001184,-2.89915,0.91512287,3.2848494,-3.8422427,-0.092492715,-2.3546727,4.019864,buka
-592.4034,99.91842,25.635891,12.7608385,0.88990635,3.2357109,-3.3498056,5.225397,-0.5237202,-3.8857095,1.36207,2.7712464,2.0401258,buka
-147.3014,16.613604,8.303916,1.983338,-0.63545126,-3.3401215,-2.3596866,1.355137,1.7307858,-1.4960289,-2.664037,-0.26558426,1.0838678,buka
-30.069483,15.328168,-8.701622,13.53643,-13.731981,9.579928,-14.775505,10.841277,-12.639184,11.185299,-13.228811,10.360328,-12.491639,buka
-83.331955,7.7996507,5.0119,2.2849374,-1.5532714,-2.4441972,-3.6550806,-0.4700184,0.3400075,0.33763102,-2.616121,-2.0975175,-1.5832269,buka
-156.31511,15.913698,7.3490496,1.1527508,-1.309724,-3.484361,-1.37327,2.0298352,0.78494906,-2.5103533,-1.6570472,1.1312425,1.1294955,buka
-348.73508,11.649426,-3.0022614,6.476131,-9.129257,3.131205,-8.084463,6.816054,-6.125941,5.432608,-7.873515,6.861934,-5.3829327,buka
-614.55334,107.359665,25.778353,22.210573,-1.1035721,10.722811,-5.7490683,1.9303665,2.5427706,-4.967915,0.21766686,-2.3715827,5.2415752,buka
-360.4555,17.093763,6.7071943,0.38158277,-2.9133847,-4.3902855,-1.2874007,2.195231,-0.05792709,-3.6000378,-1.5991269,1.9096142,1.2686592,buka
-93.04793,6.147675,4.258845,0.5136212,-2.0147169,-3.1287935,-2.0600545,0.506126,0.3882852,-1.8434706,-2.735079,-0.5805686,1.126062,buka
-161.52257,6.873543,4.8138947,1.2305241,-1.4313219,-2.9185395,-2.7913582,-0.30876747,0.9144571,-0.42090124,-2.3151147,-2.0861979,-0.3661072,buka
-626.01904,109.15272,25.999033,23.916706,1.7086627,8.750875,-1.4830277,-1.3251852,7.692937,-0.94706887,-1.3557181,-4.598353,-0.27070996,buka
-590.7937,99.8344,26.610554,15.305698,0.86447227,4.5851154,-5.299676,4.3471766,-1.139846,-3.6782537,1.4034153,1.1692362,2.3663747,buka
